,Disease,Symptom1,Symptom2,Symptom3,Symptom4
0,Fungal infection,itching, skinrash, nodalskineruptions, dischromicpatches
1,Fungal infection, skinrash, nodalskineruptions, dischromicpatches,
2,Fungal infection,itching, nodalskineruptions, dischromicpatches,
3,Fungal infection,itching, skinrash, dischromicpatches,
4,Fungal infection,itching, skinrash, nodalskineruptions,
5,Fungal infection, skinrash, nodalskineruptions, dischromicpatches,
6,Fungal infection,itching, nodalskineruptions, dischromicpatches,
7,Fungal infection,itching, skinrash, dischromicpatches,
8,Fungal infection,itching, skinrash, nodalskineruptions,
9,Fungal infection,itching, skinrash, nodalskineruptions, dischromicpatches
10,Allergy, continuoussneezing, shivering, chills, wateringfromeyes
11,Allergy, shivering, chills, wateringfromeyes,
12,Allergy, continuoussneezing, chills, wateringfromeyes,
13,Allergy, continuoussneezing, shivering, wateringfromeyes,
14,Allergy, continuoussneezing, shivering, chills,
15,Allergy, shivering, chills, wateringfromeyes,
16,Allergy, continuoussneezing, chills, wateringfromeyes,
17,Allergy, continuoussneezing, shivering, wateringfromeyes,
18,Allergy, continuoussneezing, shivering, chills,
19,Allergy, continuoussneezing, shivering, chills, wateringfromeyes
20,GERD, stomachpain, acidity, ulcersontongue, vomiting
21,GERD, stomachpain, ulcersontongue, vomiting, cough
22,GERD, stomachpain, acidity, vomiting, cough
23,GERD, stomachpain, acidity, ulcersontongue, cough
24,GERD, stomachpain, acidity, ulcersontongue, vomiting
25,GERD, stomachpain, acidity, ulcersontongue, vomiting
26,GERD, acidity, ulcersontongue, vomiting, cough
27,GERD, stomachpain, ulcersontongue, vomiting, cough
28,GERD, stomachpain, acidity, vomiting, cough
29,GERD, stomachpain, acidity, ulcersontongue, cough
30,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
31,Chronic cholestasis, vomiting, yellowishskin, nausea, lossofappetite
32,Chronic cholestasis,itching, yellowishskin, nausea, lossofappetite
33,Chronic cholestasis,itching, vomiting, nausea, lossofappetite
34,Chronic cholestasis,itching, vomiting, yellowishskin, lossofappetite
35,Chronic cholestasis,itching, vomiting, yellowishskin, nausea
